Epoch 1, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 2, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 3, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 4, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 5, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 6, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 7, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 8, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 9, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 10, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 11, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 12, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 13, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 14, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 15, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 16, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 17, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 18, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 19, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 20, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
