Epoch 1, Acc: 0.8884, F1: 0.8247, Precision: 0.8989, Recall: 0.7875
Epoch 2, Acc: 0.9263, F1: 0.8949, Precision: 0.9148, Recall: 0.8788
Epoch 3, Acc: 0.9464, F1: 0.9263, Precision: 0.9291, Recall: 0.9236
Epoch 4, Acc: 0.9263, F1: 0.8942, Precision: 0.9178, Recall: 0.8757
Epoch 5, Acc: 0.9397, F1: 0.9158, Precision: 0.9260, Recall: 0.9066
Epoch 6, Acc: 0.9420, F1: 0.9191, Precision: 0.9279, Recall: 0.9112
Epoch 7, Acc: 0.9464, F1: 0.9302, Precision: 0.9132, Recall: 0.9521
Epoch 8, Acc: 0.9576, F1: 0.9439, Precision: 0.9309, Recall: 0.9594
Epoch 9, Acc: 0.9531, F1: 0.9388, Precision: 0.9222, Recall: 0.9596
Epoch 10, Acc: 0.9598, F1: 0.9461, Precision: 0.9384, Recall: 0.9546
Epoch 11, Acc: 0.9598, F1: 0.9454, Precision: 0.9427, Recall: 0.9483
Epoch 12, Acc: 0.9531, F1: 0.9361, Precision: 0.9348, Recall: 0.9375
Epoch 13, Acc: 0.9621, F1: 0.9489, Precision: 0.9424, Recall: 0.9560
Epoch 14, Acc: 0.9554, F1: 0.9386, Precision: 0.9415, Recall: 0.9358
Epoch 15, Acc: 0.9531, F1: 0.9357, Precision: 0.9371, Recall: 0.9344
Epoch 16, Acc: 0.9643, F1: 0.9524, Precision: 0.9423, Recall: 0.9638
Epoch 17, Acc: 0.9621, F1: 0.9489, Precision: 0.9424, Recall: 0.9560
Epoch 18, Acc: 0.9643, F1: 0.9521, Precision: 0.9443, Recall: 0.9607
Epoch 19, Acc: 0.9643, F1: 0.9521, Precision: 0.9443, Recall: 0.9607
Epoch 20, Acc: 0.9554, F1: 0.9398, Precision: 0.9345, Recall: 0.9453
