Epoch 1, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 2, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 3, Acc: 0.6459, F1: 0.4758, Precision: 0.6863, Recall: 0.5391
Epoch 4, Acc: 0.7027, F1: 0.6230, Precision: 0.7218, Recall: 0.6280
Epoch 5, Acc: 0.7525, F1: 0.7410, Precision: 0.7384, Recall: 0.7454
Epoch 6, Acc: 0.7759, F1: 0.7653, Precision: 0.7624, Recall: 0.7698
Epoch 7, Acc: 0.7875, F1: 0.7686, Precision: 0.7775, Recall: 0.7631
Epoch 8, Acc: 0.7805, F1: 0.7683, Precision: 0.7667, Recall: 0.7703
Epoch 9, Acc: 0.7696, F1: 0.7638, Precision: 0.7622, Recall: 0.7773
Epoch 10, Acc: 0.8023, F1: 0.7874, Precision: 0.7914, Recall: 0.7842
Epoch 11, Acc: 0.7953, F1: 0.7764, Precision: 0.7870, Recall: 0.7701
Epoch 12, Acc: 0.7440, F1: 0.7396, Precision: 0.7422, Recall: 0.7574
Epoch 13, Acc: 0.7930, F1: 0.7816, Precision: 0.7797, Recall: 0.7840
Epoch 14, Acc: 0.8008, F1: 0.7835, Precision: 0.7918, Recall: 0.7781
Epoch 15, Acc: 0.7946, F1: 0.7800, Precision: 0.7823, Recall: 0.7780
Epoch 16, Acc: 0.7953, F1: 0.7822, Precision: 0.7825, Recall: 0.7818
Epoch 17, Acc: 0.7961, F1: 0.7832, Precision: 0.7832, Recall: 0.7832
Epoch 18, Acc: 0.7821, F1: 0.7723, Precision: 0.7691, Recall: 0.7776
Epoch 19, Acc: 0.7992, F1: 0.7828, Precision: 0.7890, Recall: 0.7785
Epoch 20, Acc: 0.7992, F1: 0.7874, Precision: 0.7863, Recall: 0.7886
Epoch 21, Acc: 0.7914, F1: 0.7803, Precision: 0.7782, Recall: 0.7831
Epoch 22, Acc: 0.7735, F1: 0.7662, Precision: 0.7632, Recall: 0.7764
Epoch 23, Acc: 0.7969, F1: 0.7853, Precision: 0.7838, Recall: 0.7871
Epoch 24, Acc: 0.7813, F1: 0.7741, Precision: 0.7709, Recall: 0.7843
Epoch 25, Acc: 0.7922, F1: 0.7836, Precision: 0.7801, Recall: 0.7906
Epoch 26, Acc: 0.8000, F1: 0.7870, Precision: 0.7876, Recall: 0.7864
Epoch 27, Acc: 0.7977, F1: 0.7858, Precision: 0.7847, Recall: 0.7869
Epoch 28, Acc: 0.7961, F1: 0.7872, Precision: 0.7837, Recall: 0.7933
Epoch 29, Acc: 0.7751, F1: 0.7703, Precision: 0.7701, Recall: 0.7865
Epoch 30, Acc: 0.8070, F1: 0.7892, Precision: 0.8000, Recall: 0.7827
Epoch 31, Acc: 0.8000, F1: 0.7870, Precision: 0.7876, Recall: 0.7864
Epoch 32, Acc: 0.7899, F1: 0.7790, Precision: 0.7766, Recall: 0.7823
Epoch 33, Acc: 0.8023, F1: 0.7852, Precision: 0.7935, Recall: 0.7798
Epoch 34, Acc: 0.7953, F1: 0.7807, Precision: 0.7832, Recall: 0.7786
Epoch 35, Acc: 0.8000, F1: 0.7885, Precision: 0.7871, Recall: 0.7900
Epoch 36, Acc: 0.8054, F1: 0.7932, Precision: 0.7932, Recall: 0.7932
Epoch 37, Acc: 0.8047, F1: 0.7905, Precision: 0.7934, Recall: 0.7881
Epoch 38, Acc: 0.8023, F1: 0.7856, Precision: 0.7931, Recall: 0.7806
Epoch 39, Acc: 0.8031, F1: 0.7780, Precision: 0.8074, Recall: 0.7667
Epoch 40, Acc: 0.8054, F1: 0.7914, Precision: 0.7942, Recall: 0.7891
Epoch 41, Acc: 0.8062, F1: 0.7859, Precision: 0.8029, Recall: 0.7773
Epoch 42, Acc: 0.8117, F1: 0.7961, Precision: 0.8030, Recall: 0.7913
Epoch 43, Acc: 0.7930, F1: 0.7820, Precision: 0.7798, Recall: 0.7848
Epoch 44, Acc: 0.8047, F1: 0.7896, Precision: 0.7942, Recall: 0.7861
Epoch 45, Acc: 0.8000, F1: 0.7880, Precision: 0.7872, Recall: 0.7888
Epoch 46, Acc: 0.7992, F1: 0.7855, Precision: 0.7870, Recall: 0.7841
Epoch 47, Acc: 0.8023, F1: 0.7875, Precision: 0.7912, Recall: 0.7846
Epoch 48, Acc: 0.8031, F1: 0.7849, Precision: 0.7958, Recall: 0.7784
Epoch 49, Acc: 0.8023, F1: 0.7886, Precision: 0.7905, Recall: 0.7870
Epoch 50, Acc: 0.7992, F1: 0.7857, Precision: 0.7869, Recall: 0.7845
