Epoch 1, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 2, Acc: 0.7768, F1: 0.5189, Precision: 0.8043, Recall: 0.5434
Epoch 3, Acc: 0.8728, F1: 0.7940, Precision: 0.8861, Recall: 0.7551
Epoch 4, Acc: 0.9286, F1: 0.8970, Precision: 0.9228, Recall: 0.8771
Epoch 5, Acc: 0.9420, F1: 0.9186, Precision: 0.9306, Recall: 0.9081
Epoch 6, Acc: 0.9487, F1: 0.9273, Precision: 0.9449, Recall: 0.9125
Epoch 7, Acc: 0.9643, F1: 0.9506, Precision: 0.9566, Recall: 0.9449
Epoch 8, Acc: 0.9598, F1: 0.9440, Precision: 0.9532, Recall: 0.9356
Epoch 9, Acc: 0.9665, F1: 0.9547, Precision: 0.9506, Recall: 0.9590
Epoch 10, Acc: 0.9710, F1: 0.9602, Precision: 0.9617, Recall: 0.9588
Epoch 11, Acc: 0.9554, F1: 0.9378, Precision: 0.9469, Recall: 0.9295
Epoch 12, Acc: 0.9688, F1: 0.9570, Precision: 0.9600, Recall: 0.9541
Epoch 13, Acc: 0.9754, F1: 0.9666, Precision: 0.9651, Recall: 0.9680
Epoch 14, Acc: 0.9732, F1: 0.9639, Precision: 0.9583, Recall: 0.9697
Epoch 15, Acc: 0.9777, F1: 0.9697, Precision: 0.9668, Recall: 0.9727
Epoch 16, Acc: 0.9754, F1: 0.9666, Precision: 0.9651, Recall: 0.9680
Epoch 17, Acc: 0.9777, F1: 0.9697, Precision: 0.9668, Recall: 0.9727
Epoch 18, Acc: 0.9665, F1: 0.9538, Precision: 0.9583, Recall: 0.9495
Epoch 19, Acc: 0.9576, F1: 0.9407, Precision: 0.9516, Recall: 0.9310
Epoch 20, Acc: 0.9665, F1: 0.9538, Precision: 0.9583, Recall: 0.9495
Epoch 21, Acc: 0.9665, F1: 0.9538, Precision: 0.9583, Recall: 0.9495
Epoch 22, Acc: 0.9710, F1: 0.9602, Precision: 0.9617, Recall: 0.9588
Epoch 23, Acc: 0.9643, F1: 0.9506, Precision: 0.9566, Recall: 0.9449
Epoch 24, Acc: 0.9732, F1: 0.9634, Precision: 0.9634, Recall: 0.9634
Epoch 25, Acc: 0.9665, F1: 0.9541, Precision: 0.9556, Recall: 0.9527
Epoch 26, Acc: 0.9621, F1: 0.9476, Precision: 0.9521, Recall: 0.9434
Epoch 27, Acc: 0.9621, F1: 0.9476, Precision: 0.9521, Recall: 0.9434
Epoch 28, Acc: 0.9754, F1: 0.9666, Precision: 0.9651, Recall: 0.9680
Epoch 29, Acc: 0.9665, F1: 0.9538, Precision: 0.9583, Recall: 0.9495
Epoch 30, Acc: 0.9576, F1: 0.9407, Precision: 0.9516, Recall: 0.9310
Epoch 31, Acc: 0.9710, F1: 0.9602, Precision: 0.9617, Recall: 0.9588
Epoch 32, Acc: 0.9665, F1: 0.9538, Precision: 0.9583, Recall: 0.9495
Epoch 33, Acc: 0.9732, F1: 0.9634, Precision: 0.9634, Recall: 0.9634
Epoch 34, Acc: 0.9688, F1: 0.9570, Precision: 0.9600, Recall: 0.9541
Epoch 35, Acc: 0.9665, F1: 0.9538, Precision: 0.9583, Recall: 0.9495
Epoch 36, Acc: 0.9688, F1: 0.9570, Precision: 0.9600, Recall: 0.9541
Epoch 37, Acc: 0.9688, F1: 0.9570, Precision: 0.9600, Recall: 0.9541
Epoch 38, Acc: 0.9688, F1: 0.9570, Precision: 0.9600, Recall: 0.9541
Epoch 39, Acc: 0.9665, F1: 0.9538, Precision: 0.9583, Recall: 0.9495
Epoch 40, Acc: 0.9643, F1: 0.9506, Precision: 0.9566, Recall: 0.9449
Epoch 41, Acc: 0.9665, F1: 0.9538, Precision: 0.9583, Recall: 0.9495
Epoch 42, Acc: 0.9621, F1: 0.9473, Precision: 0.9549, Recall: 0.9403
Epoch 43, Acc: 0.9598, F1: 0.9440, Precision: 0.9532, Recall: 0.9356
Epoch 44, Acc: 0.9688, F1: 0.9570, Precision: 0.9600, Recall: 0.9541
Epoch 45, Acc: 0.9665, F1: 0.9538, Precision: 0.9583, Recall: 0.9495
Epoch 46, Acc: 0.9665, F1: 0.9538, Precision: 0.9583, Recall: 0.9495
Epoch 47, Acc: 0.9688, F1: 0.9570, Precision: 0.9600, Recall: 0.9541
Epoch 48, Acc: 0.9688, F1: 0.9570, Precision: 0.9600, Recall: 0.9541
Epoch 49, Acc: 0.9576, F1: 0.9407, Precision: 0.9516, Recall: 0.9310
Epoch 50, Acc: 0.9732, F1: 0.9636, Precision: 0.9608, Recall: 0.9666
