Epoch 1, Acc: 0.7035, F1: 0.6334, Precision: 0.7105, Recall: 0.6346
Epoch 2, Acc: 0.7564, F1: 0.7154, Precision: 0.7638, Recall: 0.7058
Epoch 3, Acc: 0.7735, F1: 0.7503, Precision: 0.7644, Recall: 0.7433
Epoch 4, Acc: 0.8008, F1: 0.7837, Precision: 0.7916, Recall: 0.7785
Epoch 5, Acc: 0.7899, F1: 0.7493, Precision: 0.8233, Recall: 0.7355
Epoch 6, Acc: 0.7580, F1: 0.7573, Precision: 0.7801, Recall: 0.7921
Epoch 7, Acc: 0.8304, F1: 0.8217, Precision: 0.8187, Recall: 0.8257
Epoch 8, Acc: 0.8280, F1: 0.8077, Precision: 0.8337, Recall: 0.7960
Epoch 9, Acc: 0.8288, F1: 0.8222, Precision: 0.8179, Recall: 0.8313
Epoch 10, Acc: 0.8459, F1: 0.8345, Precision: 0.8384, Recall: 0.8314
Epoch 11, Acc: 0.8381, F1: 0.8272, Precision: 0.8286, Recall: 0.8259
Epoch 12, Acc: 0.8342, F1: 0.8259, Precision: 0.8228, Recall: 0.8300
Epoch 13, Acc: 0.8350, F1: 0.8260, Precision: 0.8238, Recall: 0.8286
Epoch 14, Acc: 0.8358, F1: 0.8262, Precision: 0.8249, Recall: 0.8277
Epoch 15, Acc: 0.8405, F1: 0.8295, Precision: 0.8314, Recall: 0.8278
Epoch 16, Acc: 0.8358, F1: 0.8258, Precision: 0.8252, Recall: 0.8264
Epoch 17, Acc: 0.8374, F1: 0.8269, Precision: 0.8273, Recall: 0.8265
Epoch 18, Acc: 0.8381, F1: 0.8275, Precision: 0.8283, Recall: 0.8267
Epoch 19, Acc: 0.8389, F1: 0.8287, Precision: 0.8288, Recall: 0.8285
Epoch 20, Acc: 0.8381, F1: 0.8279, Precision: 0.8279, Recall: 0.8279
Epoch 21, Acc: 0.8374, F1: 0.8266, Precision: 0.8276, Recall: 0.8257
Epoch 22, Acc: 0.8397, F1: 0.8294, Precision: 0.8297, Recall: 0.8292
Epoch 23, Acc: 0.8374, F1: 0.8267, Precision: 0.8274, Recall: 0.8261
Epoch 24, Acc: 0.8381, F1: 0.8276, Precision: 0.8282, Recall: 0.8271
Epoch 25, Acc: 0.8389, F1: 0.8283, Precision: 0.8292, Recall: 0.8273
Epoch 26, Acc: 0.8381, F1: 0.8275, Precision: 0.8283, Recall: 0.8267
Epoch 27, Acc: 0.8389, F1: 0.8285, Precision: 0.8289, Recall: 0.8281
Epoch 28, Acc: 0.8374, F1: 0.8267, Precision: 0.8274, Recall: 0.8261
Epoch 29, Acc: 0.8374, F1: 0.8267, Precision: 0.8274, Recall: 0.8261
Epoch 30, Acc: 0.8381, F1: 0.8275, Precision: 0.8283, Recall: 0.8267
Epoch 31, Acc: 0.8381, F1: 0.8276, Precision: 0.8282, Recall: 0.8271
Epoch 32, Acc: 0.8389, F1: 0.8288, Precision: 0.8287, Recall: 0.8290
Epoch 33, Acc: 0.8389, F1: 0.8285, Precision: 0.8289, Recall: 0.8281
Epoch 34, Acc: 0.8389, F1: 0.8287, Precision: 0.8288, Recall: 0.8285
Epoch 35, Acc: 0.8389, F1: 0.8284, Precision: 0.8291, Recall: 0.8277
Epoch 36, Acc: 0.8381, F1: 0.8275, Precision: 0.8283, Recall: 0.8267
Epoch 37, Acc: 0.8389, F1: 0.8285, Precision: 0.8289, Recall: 0.8281
Epoch 38, Acc: 0.8389, F1: 0.8287, Precision: 0.8288, Recall: 0.8285
Epoch 39, Acc: 0.8389, F1: 0.8287, Precision: 0.8288, Recall: 0.8285
Epoch 40, Acc: 0.8389, F1: 0.8285, Precision: 0.8289, Recall: 0.8281
Epoch 41, Acc: 0.8381, F1: 0.8278, Precision: 0.8281, Recall: 0.8275
Epoch 42, Acc: 0.8389, F1: 0.8287, Precision: 0.8288, Recall: 0.8285
Epoch 43, Acc: 0.8389, F1: 0.8285, Precision: 0.8289, Recall: 0.8281
Epoch 44, Acc: 0.8389, F1: 0.8284, Precision: 0.8291, Recall: 0.8277
Epoch 45, Acc: 0.8389, F1: 0.8284, Precision: 0.8291, Recall: 0.8277
Epoch 46, Acc: 0.8381, F1: 0.8278, Precision: 0.8281, Recall: 0.8275
Epoch 47, Acc: 0.8389, F1: 0.8285, Precision: 0.8289, Recall: 0.8281
Epoch 48, Acc: 0.8397, F1: 0.8293, Precision: 0.8298, Recall: 0.8288
Epoch 49, Acc: 0.8389, F1: 0.8285, Precision: 0.8289, Recall: 0.8281
Epoch 50, Acc: 0.8389, F1: 0.8287, Precision: 0.8288, Recall: 0.8285
