Epoch 1, Acc: 0.7812, F1: 0.5218, Precision: 0.8881, Recall: 0.5463
Epoch 2, Acc: 0.8973, F1: 0.8464, Precision: 0.8898, Recall: 0.8186
Epoch 3, Acc: 0.9062, F1: 0.8639, Precision: 0.8914, Recall: 0.8435
Epoch 4, Acc: 0.9330, F1: 0.9054, Precision: 0.9204, Recall: 0.8927
Epoch 5, Acc: 0.9375, F1: 0.9117, Precision: 0.9269, Recall: 0.8988
Epoch 6, Acc: 0.9464, F1: 0.9249, Precision: 0.9370, Recall: 0.9142
Epoch 7, Acc: 0.9487, F1: 0.9282, Precision: 0.9388, Recall: 0.9188
Epoch 8, Acc: 0.9598, F1: 0.9451, Precision: 0.9451, Recall: 0.9451
Epoch 9, Acc: 0.9688, F1: 0.9578, Precision: 0.9524, Recall: 0.9636
Epoch 10, Acc: 0.9732, F1: 0.9639, Precision: 0.9583, Recall: 0.9697
Epoch 11, Acc: 0.9576, F1: 0.9411, Precision: 0.9486, Recall: 0.9342
Epoch 12, Acc: 0.9643, F1: 0.9509, Precision: 0.9538, Recall: 0.9480
Epoch 13, Acc: 0.9710, F1: 0.9610, Precision: 0.9542, Recall: 0.9682
Epoch 14, Acc: 0.9665, F1: 0.9538, Precision: 0.9583, Recall: 0.9495
Epoch 15, Acc: 0.9643, F1: 0.9509, Precision: 0.9538, Recall: 0.9480
Epoch 16, Acc: 0.9710, F1: 0.9610, Precision: 0.9542, Recall: 0.9682
Epoch 17, Acc: 0.9621, F1: 0.9473, Precision: 0.9549, Recall: 0.9403
Epoch 18, Acc: 0.9732, F1: 0.9639, Precision: 0.9583, Recall: 0.9697
Epoch 19, Acc: 0.9732, F1: 0.9636, Precision: 0.9608, Recall: 0.9666
Epoch 20, Acc: 0.9732, F1: 0.9636, Precision: 0.9608, Recall: 0.9666
Epoch 21, Acc: 0.9710, F1: 0.9610, Precision: 0.9542, Recall: 0.9682
Epoch 22, Acc: 0.9732, F1: 0.9636, Precision: 0.9608, Recall: 0.9666
Epoch 23, Acc: 0.9665, F1: 0.9538, Precision: 0.9583, Recall: 0.9495
Epoch 24, Acc: 0.9710, F1: 0.9607, Precision: 0.9565, Recall: 0.9651
Epoch 25, Acc: 0.9732, F1: 0.9636, Precision: 0.9608, Recall: 0.9666
Epoch 26, Acc: 0.9732, F1: 0.9636, Precision: 0.9608, Recall: 0.9666
Epoch 27, Acc: 0.9732, F1: 0.9636, Precision: 0.9608, Recall: 0.9666
Epoch 28, Acc: 0.9732, F1: 0.9636, Precision: 0.9608, Recall: 0.9666
Epoch 29, Acc: 0.9710, F1: 0.9605, Precision: 0.9590, Recall: 0.9619
Epoch 30, Acc: 0.9710, F1: 0.9605, Precision: 0.9590, Recall: 0.9619
Epoch 31, Acc: 0.9710, F1: 0.9607, Precision: 0.9565, Recall: 0.9651
Epoch 32, Acc: 0.9732, F1: 0.9636, Precision: 0.9608, Recall: 0.9666
Epoch 33, Acc: 0.9688, F1: 0.9578, Precision: 0.9524, Recall: 0.9636
Epoch 34, Acc: 0.9710, F1: 0.9605, Precision: 0.9590, Recall: 0.9619
Epoch 35, Acc: 0.9710, F1: 0.9605, Precision: 0.9590, Recall: 0.9619
Epoch 36, Acc: 0.9710, F1: 0.9605, Precision: 0.9590, Recall: 0.9619
Epoch 37, Acc: 0.9688, F1: 0.9578, Precision: 0.9524, Recall: 0.9636
Epoch 38, Acc: 0.9688, F1: 0.9576, Precision: 0.9548, Recall: 0.9605
Epoch 39, Acc: 0.9643, F1: 0.9506, Precision: 0.9566, Recall: 0.9449
Epoch 40, Acc: 0.9688, F1: 0.9578, Precision: 0.9524, Recall: 0.9636
Epoch 41, Acc: 0.9688, F1: 0.9570, Precision: 0.9600, Recall: 0.9541
Epoch 42, Acc: 0.9710, F1: 0.9602, Precision: 0.9617, Recall: 0.9588
Epoch 43, Acc: 0.9688, F1: 0.9576, Precision: 0.9548, Recall: 0.9605
Epoch 44, Acc: 0.9710, F1: 0.9602, Precision: 0.9617, Recall: 0.9588
Epoch 45, Acc: 0.9710, F1: 0.9605, Precision: 0.9590, Recall: 0.9619
Epoch 46, Acc: 0.9688, F1: 0.9570, Precision: 0.9600, Recall: 0.9541
Epoch 47, Acc: 0.9688, F1: 0.9576, Precision: 0.9548, Recall: 0.9605
Epoch 48, Acc: 0.9710, F1: 0.9605, Precision: 0.9590, Recall: 0.9619
Epoch 49, Acc: 0.9710, F1: 0.9605, Precision: 0.9590, Recall: 0.9619
Epoch 50, Acc: 0.9688, F1: 0.9570, Precision: 0.9600, Recall: 0.9541
