Epoch 1, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 2, Acc: 0.6560, F1: 0.4928, Precision: 0.7306, Recall: 0.5505
Epoch 3, Acc: 0.7595, F1: 0.7282, Precision: 0.7548, Recall: 0.7196
Epoch 4, Acc: 0.7728, F1: 0.7523, Precision: 0.7610, Recall: 0.7471
Epoch 5, Acc: 0.7852, F1: 0.7599, Precision: 0.7822, Recall: 0.7507
Epoch 6, Acc: 0.7946, F1: 0.7709, Precision: 0.7926, Recall: 0.7614
Epoch 7, Acc: 0.8039, F1: 0.7873, Precision: 0.7948, Recall: 0.7823
Epoch 8, Acc: 0.8062, F1: 0.7924, Precision: 0.7950, Recall: 0.7902
Epoch 9, Acc: 0.8226, F1: 0.8111, Precision: 0.8116, Recall: 0.8106
Epoch 10, Acc: 0.8272, F1: 0.8135, Precision: 0.8194, Recall: 0.8091
Epoch 11, Acc: 0.8296, F1: 0.8189, Precision: 0.8188, Recall: 0.8190
Epoch 12, Acc: 0.8265, F1: 0.8183, Precision: 0.8147, Recall: 0.8238
Epoch 13, Acc: 0.8397, F1: 0.8235, Precision: 0.8402, Recall: 0.8143
Epoch 14, Acc: 0.8451, F1: 0.8336, Precision: 0.8377, Recall: 0.8303
Epoch 15, Acc: 0.8451, F1: 0.8385, Precision: 0.8342, Recall: 0.8460
Epoch 16, Acc: 0.8444, F1: 0.8373, Precision: 0.8333, Recall: 0.8438
Epoch 17, Acc: 0.8506, F1: 0.8432, Precision: 0.8397, Recall: 0.8480
Epoch 18, Acc: 0.8475, F1: 0.8404, Precision: 0.8365, Recall: 0.8463
Epoch 19, Acc: 0.8459, F1: 0.8339, Precision: 0.8394, Recall: 0.8297
Epoch 20, Acc: 0.8342, F1: 0.8297, Precision: 0.8264, Recall: 0.8445
Epoch 21, Acc: 0.8506, F1: 0.8419, Precision: 0.8404, Recall: 0.8436
Epoch 22, Acc: 0.8444, F1: 0.8384, Precision: 0.8338, Recall: 0.8478
Epoch 23, Acc: 0.8475, F1: 0.8391, Precision: 0.8368, Recall: 0.8419
Epoch 24, Acc: 0.8444, F1: 0.8381, Precision: 0.8336, Recall: 0.8466
Epoch 25, Acc: 0.8475, F1: 0.8396, Precision: 0.8366, Recall: 0.8435
Epoch 26, Acc: 0.8451, F1: 0.8389, Precision: 0.8344, Recall: 0.8477
Epoch 27, Acc: 0.8490, F1: 0.8350, Precision: 0.8478, Recall: 0.8270
Epoch 28, Acc: 0.8521, F1: 0.8436, Precision: 0.8421, Recall: 0.8452
Epoch 29, Acc: 0.8514, F1: 0.8427, Precision: 0.8413, Recall: 0.8442
Epoch 30, Acc: 0.8420, F1: 0.8362, Precision: 0.8317, Recall: 0.8464
Epoch 31, Acc: 0.8475, F1: 0.8404, Precision: 0.8365, Recall: 0.8463
Epoch 32, Acc: 0.8451, F1: 0.8382, Precision: 0.8341, Recall: 0.8448
Epoch 33, Acc: 0.8514, F1: 0.8434, Precision: 0.8408, Recall: 0.8466
Epoch 34, Acc: 0.8475, F1: 0.8399, Precision: 0.8365, Recall: 0.8447
Epoch 35, Acc: 0.8506, F1: 0.8429, Precision: 0.8398, Recall: 0.8468
Epoch 36, Acc: 0.8475, F1: 0.8397, Precision: 0.8365, Recall: 0.8439
Epoch 37, Acc: 0.8451, F1: 0.8373, Precision: 0.8341, Recall: 0.8416
Epoch 38, Acc: 0.8444, F1: 0.8365, Precision: 0.8333, Recall: 0.8410
Epoch 39, Acc: 0.8482, F1: 0.8394, Precision: 0.8380, Recall: 0.8409
Epoch 40, Acc: 0.8475, F1: 0.8417, Precision: 0.8371, Recall: 0.8516
Epoch 41, Acc: 0.8498, F1: 0.8431, Precision: 0.8389, Recall: 0.8498
Epoch 42, Acc: 0.8521, F1: 0.8428, Precision: 0.8428, Recall: 0.8428
Epoch 43, Acc: 0.8482, F1: 0.8417, Precision: 0.8373, Recall: 0.8490
Epoch 44, Acc: 0.8537, F1: 0.8468, Precision: 0.8429, Recall: 0.8525
Epoch 45, Acc: 0.8537, F1: 0.8426, Precision: 0.8474, Recall: 0.8388
Epoch 46, Acc: 0.8521, F1: 0.8415, Precision: 0.8447, Recall: 0.8388
Epoch 47, Acc: 0.8459, F1: 0.8405, Precision: 0.8359, Recall: 0.8515
Epoch 48, Acc: 0.8444, F1: 0.8388, Precision: 0.8342, Recall: 0.8495
Epoch 49, Acc: 0.8560, F1: 0.8483, Precision: 0.8456, Recall: 0.8516
Epoch 50, Acc: 0.8506, F1: 0.8427, Precision: 0.8399, Recall: 0.8464
