Epoch 1, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 2, Acc: 0.7612, F1: 0.4412, Precision: 0.8803, Recall: 0.5046
Epoch 3, Acc: 0.7656, F1: 0.4601, Precision: 0.8820, Recall: 0.5139
Epoch 4, Acc: 0.8482, F1: 0.7387, Precision: 0.8709, Recall: 0.7010
Epoch 5, Acc: 0.9107, F1: 0.8674, Precision: 0.9084, Recall: 0.8401
Epoch 6, Acc: 0.9152, F1: 0.8750, Precision: 0.9121, Recall: 0.8493
Epoch 7, Acc: 0.9196, F1: 0.8824, Precision: 0.9157, Recall: 0.8586
Epoch 8, Acc: 0.9263, F1: 0.8942, Precision: 0.9178, Recall: 0.8757
Epoch 9, Acc: 0.9263, F1: 0.8942, Precision: 0.9178, Recall: 0.8757
Epoch 10, Acc: 0.9263, F1: 0.8942, Precision: 0.9178, Recall: 0.8757
Epoch 11, Acc: 0.9263, F1: 0.8942, Precision: 0.9178, Recall: 0.8757
Epoch 12, Acc: 0.9420, F1: 0.9186, Precision: 0.9306, Recall: 0.9081
Epoch 13, Acc: 0.9420, F1: 0.9186, Precision: 0.9306, Recall: 0.9081
Epoch 14, Acc: 0.9464, F1: 0.9254, Precision: 0.9342, Recall: 0.9173
Epoch 15, Acc: 0.9509, F1: 0.9320, Precision: 0.9378, Recall: 0.9266
Epoch 16, Acc: 0.9531, F1: 0.9353, Precision: 0.9397, Recall: 0.9312
Epoch 17, Acc: 0.9621, F1: 0.9483, Precision: 0.9469, Recall: 0.9497
Epoch 18, Acc: 0.9688, F1: 0.9583, Precision: 0.9481, Recall: 0.9699
Epoch 19, Acc: 0.9665, F1: 0.9547, Precision: 0.9506, Recall: 0.9590
Epoch 20, Acc: 0.9643, F1: 0.9515, Precision: 0.9487, Recall: 0.9544
Epoch 21, Acc: 0.9531, F1: 0.9349, Precision: 0.9423, Recall: 0.9281
Epoch 22, Acc: 0.9732, F1: 0.9641, Precision: 0.9560, Recall: 0.9729
Epoch 23, Acc: 0.9643, F1: 0.9515, Precision: 0.9487, Recall: 0.9544
Epoch 24, Acc: 0.9688, F1: 0.9578, Precision: 0.9524, Recall: 0.9636
Epoch 25, Acc: 0.9688, F1: 0.9578, Precision: 0.9524, Recall: 0.9636
Epoch 26, Acc: 0.9665, F1: 0.9547, Precision: 0.9506, Recall: 0.9590
Epoch 27, Acc: 0.9643, F1: 0.9515, Precision: 0.9487, Recall: 0.9544
Epoch 28, Acc: 0.9665, F1: 0.9547, Precision: 0.9506, Recall: 0.9590
Epoch 29, Acc: 0.9688, F1: 0.9576, Precision: 0.9548, Recall: 0.9605
Epoch 30, Acc: 0.9643, F1: 0.9512, Precision: 0.9512, Recall: 0.9512
Epoch 31, Acc: 0.9710, F1: 0.9607, Precision: 0.9565, Recall: 0.9651
Epoch 32, Acc: 0.9688, F1: 0.9576, Precision: 0.9548, Recall: 0.9605
Epoch 33, Acc: 0.9665, F1: 0.9544, Precision: 0.9530, Recall: 0.9558
Epoch 34, Acc: 0.9665, F1: 0.9544, Precision: 0.9530, Recall: 0.9558
Epoch 35, Acc: 0.9688, F1: 0.9576, Precision: 0.9548, Recall: 0.9605
Epoch 36, Acc: 0.9665, F1: 0.9544, Precision: 0.9530, Recall: 0.9558
Epoch 37, Acc: 0.9621, F1: 0.9480, Precision: 0.9494, Recall: 0.9466
Epoch 38, Acc: 0.9710, F1: 0.9607, Precision: 0.9565, Recall: 0.9651
Epoch 39, Acc: 0.9598, F1: 0.9447, Precision: 0.9476, Recall: 0.9419
Epoch 40, Acc: 0.9643, F1: 0.9512, Precision: 0.9512, Recall: 0.9512
Epoch 41, Acc: 0.9643, F1: 0.9512, Precision: 0.9512, Recall: 0.9512
Epoch 42, Acc: 0.9710, F1: 0.9607, Precision: 0.9565, Recall: 0.9651
Epoch 43, Acc: 0.9688, F1: 0.9576, Precision: 0.9548, Recall: 0.9605
Epoch 44, Acc: 0.9621, F1: 0.9480, Precision: 0.9494, Recall: 0.9466
Epoch 45, Acc: 0.9665, F1: 0.9544, Precision: 0.9530, Recall: 0.9558
Epoch 46, Acc: 0.9665, F1: 0.9544, Precision: 0.9530, Recall: 0.9558
Epoch 47, Acc: 0.9598, F1: 0.9447, Precision: 0.9476, Recall: 0.9419
Epoch 48, Acc: 0.9710, F1: 0.9607, Precision: 0.9565, Recall: 0.9651
Epoch 49, Acc: 0.9710, F1: 0.9607, Precision: 0.9565, Recall: 0.9651
Epoch 50, Acc: 0.9710, F1: 0.9607, Precision: 0.9565, Recall: 0.9651
