Epoch 1, Acc: 0.6560, F1: 0.4928, Precision: 0.7306, Recall: 0.5505
Epoch 2, Acc: 0.7082, F1: 0.6158, Precision: 0.7592, Recall: 0.6259
Epoch 3, Acc: 0.7541, F1: 0.6997, Precision: 0.7855, Recall: 0.6914
Epoch 4, Acc: 0.7728, F1: 0.7285, Precision: 0.7993, Recall: 0.7169
Epoch 5, Acc: 0.7907, F1: 0.7593, Precision: 0.8014, Recall: 0.7470
Epoch 6, Acc: 0.7914, F1: 0.7584, Precision: 0.8063, Recall: 0.7456
Epoch 7, Acc: 0.8047, F1: 0.7798, Precision: 0.8093, Recall: 0.7684
Epoch 8, Acc: 0.8078, F1: 0.7835, Precision: 0.8126, Recall: 0.7721
Epoch 9, Acc: 0.8086, F1: 0.7848, Precision: 0.8127, Recall: 0.7735
Epoch 10, Acc: 0.8132, F1: 0.7946, Precision: 0.8094, Recall: 0.7865
Epoch 11, Acc: 0.8218, F1: 0.8059, Precision: 0.8159, Recall: 0.7995
Epoch 12, Acc: 0.8171, F1: 0.7968, Precision: 0.8177, Recall: 0.7868
Epoch 13, Acc: 0.8187, F1: 0.7981, Precision: 0.8205, Recall: 0.7877
Epoch 14, Acc: 0.8210, F1: 0.8006, Precision: 0.8235, Recall: 0.7900
Epoch 15, Acc: 0.8342, F1: 0.8200, Precision: 0.8289, Recall: 0.8139
Epoch 16, Acc: 0.8304, F1: 0.8128, Precision: 0.8303, Recall: 0.8035
Epoch 17, Acc: 0.8350, F1: 0.8205, Precision: 0.8303, Recall: 0.8141
Epoch 18, Acc: 0.8389, F1: 0.8249, Precision: 0.8345, Recall: 0.8185
Epoch 19, Acc: 0.8342, F1: 0.8189, Precision: 0.8309, Recall: 0.8115
Epoch 20, Acc: 0.8374, F1: 0.8209, Precision: 0.8377, Recall: 0.8116
Epoch 21, Acc: 0.8389, F1: 0.8240, Precision: 0.8362, Recall: 0.8165
Epoch 22, Acc: 0.8412, F1: 0.8270, Precision: 0.8379, Recall: 0.8199
Epoch 23, Acc: 0.8428, F1: 0.8298, Precision: 0.8374, Recall: 0.8244
Epoch 24, Acc: 0.8451, F1: 0.8321, Precision: 0.8404, Recall: 0.8263
Epoch 25, Acc: 0.8459, F1: 0.8335, Precision: 0.8402, Recall: 0.8285
Epoch 26, Acc: 0.8482, F1: 0.8359, Precision: 0.8429, Recall: 0.8308
Epoch 27, Acc: 0.8451, F1: 0.8301, Precision: 0.8449, Recall: 0.8215
Epoch 28, Acc: 0.8444, F1: 0.8292, Precision: 0.8442, Recall: 0.8204
Epoch 29, Acc: 0.8490, F1: 0.8373, Precision: 0.8428, Recall: 0.8331
Epoch 30, Acc: 0.8498, F1: 0.8379, Precision: 0.8441, Recall: 0.8333
Epoch 31, Acc: 0.8553, F1: 0.8436, Precision: 0.8505, Recall: 0.8385
Epoch 32, Acc: 0.8521, F1: 0.8395, Precision: 0.8487, Recall: 0.8331
Epoch 33, Acc: 0.8514, F1: 0.8387, Precision: 0.8477, Recall: 0.8325
Epoch 34, Acc: 0.8521, F1: 0.8399, Precision: 0.8477, Recall: 0.8344
Epoch 35, Acc: 0.8521, F1: 0.8393, Precision: 0.8491, Recall: 0.8327
Epoch 36, Acc: 0.8545, F1: 0.8432, Precision: 0.8486, Recall: 0.8390
Epoch 37, Acc: 0.8498, F1: 0.8365, Precision: 0.8470, Recall: 0.8297
Epoch 38, Acc: 0.8545, F1: 0.8421, Precision: 0.8511, Recall: 0.8358
Epoch 39, Acc: 0.8506, F1: 0.8375, Precision: 0.8477, Recall: 0.8307
Epoch 40, Acc: 0.8560, F1: 0.8439, Precision: 0.8525, Recall: 0.8379
Epoch 41, Acc: 0.8529, F1: 0.8399, Precision: 0.8505, Recall: 0.8330
Epoch 42, Acc: 0.8584, F1: 0.8471, Precision: 0.8536, Recall: 0.8422
Epoch 43, Acc: 0.8591, F1: 0.8488, Precision: 0.8526, Recall: 0.8456
Epoch 44, Acc: 0.8545, F1: 0.8419, Precision: 0.8515, Recall: 0.8354
Epoch 45, Acc: 0.8568, F1: 0.8462, Precision: 0.8502, Recall: 0.8429
Epoch 46, Acc: 0.8521, F1: 0.8408, Precision: 0.8459, Recall: 0.8368
Epoch 47, Acc: 0.8514, F1: 0.8396, Precision: 0.8458, Recall: 0.8349
Epoch 48, Acc: 0.8560, F1: 0.8456, Precision: 0.8490, Recall: 0.8427
Epoch 49, Acc: 0.8545, F1: 0.8432, Precision: 0.8486, Recall: 0.8390
Epoch 50, Acc: 0.8576, F1: 0.8471, Precision: 0.8510, Recall: 0.8440
