Epoch 1, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 2, Acc: 0.7634, F1: 0.4592, Precision: 0.7568, Recall: 0.5124
Epoch 3, Acc: 0.8750, F1: 0.7985, Precision: 0.8880, Recall: 0.7597
Epoch 4, Acc: 0.8839, F1: 0.8129, Precision: 0.9062, Recall: 0.7719
Epoch 5, Acc: 0.9152, F1: 0.8731, Precision: 0.9197, Recall: 0.8430
Epoch 6, Acc: 0.9286, F1: 0.8947, Precision: 0.9336, Recall: 0.8676
Epoch 7, Acc: 0.9330, F1: 0.9034, Precision: 0.9297, Recall: 0.8832
Epoch 8, Acc: 0.9353, F1: 0.9063, Precision: 0.9348, Recall: 0.8847
Epoch 9, Acc: 0.9330, F1: 0.9041, Precision: 0.9264, Recall: 0.8864
Epoch 10, Acc: 0.9353, F1: 0.9070, Precision: 0.9314, Recall: 0.8879
Epoch 11, Acc: 0.9330, F1: 0.9041, Precision: 0.9264, Recall: 0.8864
Epoch 12, Acc: 0.9330, F1: 0.9041, Precision: 0.9264, Recall: 0.8864
Epoch 13, Acc: 0.9353, F1: 0.9070, Precision: 0.9314, Recall: 0.8879
Epoch 14, Acc: 0.9330, F1: 0.9041, Precision: 0.9264, Recall: 0.8864
Epoch 15, Acc: 0.9330, F1: 0.9041, Precision: 0.9264, Recall: 0.8864
Epoch 16, Acc: 0.9330, F1: 0.9041, Precision: 0.9264, Recall: 0.8864
Epoch 17, Acc: 0.9330, F1: 0.9041, Precision: 0.9264, Recall: 0.8864
Epoch 18, Acc: 0.9330, F1: 0.9041, Precision: 0.9264, Recall: 0.8864
Epoch 19, Acc: 0.9330, F1: 0.9041, Precision: 0.9264, Recall: 0.8864
Epoch 20, Acc: 0.9330, F1: 0.9041, Precision: 0.9264, Recall: 0.8864
Epoch 21, Acc: 0.9353, F1: 0.9076, Precision: 0.9281, Recall: 0.8910
Epoch 22, Acc: 0.9353, F1: 0.9076, Precision: 0.9281, Recall: 0.8910
Epoch 23, Acc: 0.9397, F1: 0.9146, Precision: 0.9317, Recall: 0.9003
Epoch 24, Acc: 0.9464, F1: 0.9249, Precision: 0.9370, Recall: 0.9142
Epoch 25, Acc: 0.9442, F1: 0.9209, Precision: 0.9383, Recall: 0.9064
Epoch 26, Acc: 0.9464, F1: 0.9244, Precision: 0.9400, Recall: 0.9110
Epoch 27, Acc: 0.9464, F1: 0.9249, Precision: 0.9370, Recall: 0.9142
Epoch 28, Acc: 0.9464, F1: 0.9244, Precision: 0.9400, Recall: 0.9110
Epoch 29, Acc: 0.9487, F1: 0.9278, Precision: 0.9417, Recall: 0.9156
Epoch 30, Acc: 0.9487, F1: 0.9278, Precision: 0.9417, Recall: 0.9156
Epoch 31, Acc: 0.9487, F1: 0.9278, Precision: 0.9417, Recall: 0.9156
Epoch 32, Acc: 0.9509, F1: 0.9311, Precision: 0.9434, Recall: 0.9203
Epoch 33, Acc: 0.9487, F1: 0.9278, Precision: 0.9417, Recall: 0.9156
Epoch 34, Acc: 0.9509, F1: 0.9311, Precision: 0.9434, Recall: 0.9203
Epoch 35, Acc: 0.9509, F1: 0.9311, Precision: 0.9434, Recall: 0.9203
Epoch 36, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 37, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 38, Acc: 0.9509, F1: 0.9311, Precision: 0.9434, Recall: 0.9203
Epoch 39, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 40, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 41, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 42, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 43, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 44, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 45, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 46, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 47, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 48, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 49, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 50, Acc: 0.9554, F1: 0.9378, Precision: 0.9469, Recall: 0.9295
