Epoch 1, Acc: 0.6677, F1: 0.5169, Precision: 0.7593, Recall: 0.5651
Epoch 2, Acc: 0.7416, F1: 0.6850, Precision: 0.7648, Recall: 0.6786
Epoch 3, Acc: 0.7541, F1: 0.7044, Precision: 0.7755, Recall: 0.6955
Epoch 4, Acc: 0.7875, F1: 0.7569, Precision: 0.7948, Recall: 0.7453
Epoch 5, Acc: 0.7984, F1: 0.7758, Precision: 0.7961, Recall: 0.7666
Epoch 6, Acc: 0.8008, F1: 0.7750, Precision: 0.8054, Recall: 0.7636
Epoch 7, Acc: 0.8093, F1: 0.7858, Precision: 0.8134, Recall: 0.7745
Epoch 8, Acc: 0.8070, F1: 0.7886, Precision: 0.8009, Recall: 0.7815
Epoch 9, Acc: 0.8117, F1: 0.7914, Precision: 0.8103, Recall: 0.7821
Epoch 10, Acc: 0.8163, F1: 0.7943, Precision: 0.8205, Recall: 0.7830
Epoch 11, Acc: 0.8319, F1: 0.8180, Precision: 0.8253, Recall: 0.8128
Epoch 12, Acc: 0.8327, F1: 0.8198, Precision: 0.8248, Recall: 0.8159
Epoch 13, Acc: 0.8381, F1: 0.8243, Precision: 0.8331, Recall: 0.8183
Epoch 14, Acc: 0.8319, F1: 0.8163, Precision: 0.8285, Recall: 0.8088
Epoch 15, Acc: 0.8412, F1: 0.8310, Precision: 0.8315, Recall: 0.8304
Epoch 16, Acc: 0.8412, F1: 0.8312, Precision: 0.8312, Recall: 0.8312
Epoch 17, Acc: 0.8405, F1: 0.8310, Precision: 0.8299, Recall: 0.8322
Epoch 18, Acc: 0.8358, F1: 0.8302, Precision: 0.8258, Recall: 0.8414
Epoch 19, Acc: 0.8342, F1: 0.8272, Precision: 0.8230, Recall: 0.8345
Epoch 20, Acc: 0.8397, F1: 0.8319, Precision: 0.8284, Recall: 0.8368
Epoch 21, Acc: 0.8381, F1: 0.8211, Precision: 0.8402, Recall: 0.8110
Epoch 22, Acc: 0.8459, F1: 0.8371, Precision: 0.8354, Recall: 0.8390
Epoch 23, Acc: 0.8436, F1: 0.8336, Precision: 0.8338, Recall: 0.8335
Epoch 24, Acc: 0.8451, F1: 0.8313, Precision: 0.8421, Recall: 0.8243
Epoch 25, Acc: 0.8568, F1: 0.8445, Precision: 0.8539, Recall: 0.8381
Epoch 26, Acc: 0.8389, F1: 0.8317, Precision: 0.8277, Recall: 0.8382
Epoch 27, Acc: 0.8405, F1: 0.8278, Precision: 0.8338, Recall: 0.8234
Epoch 28, Acc: 0.8389, F1: 0.8318, Precision: 0.8277, Recall: 0.8386
Epoch 29, Acc: 0.8412, F1: 0.8315, Precision: 0.8310, Recall: 0.8320
Epoch 30, Acc: 0.8389, F1: 0.8284, Precision: 0.8291, Recall: 0.8277
Epoch 31, Acc: 0.8451, F1: 0.8358, Precision: 0.8349, Recall: 0.8368
Epoch 32, Acc: 0.8436, F1: 0.8334, Precision: 0.8341, Recall: 0.8327
Epoch 33, Acc: 0.8350, F1: 0.8276, Precision: 0.8236, Recall: 0.8339
Epoch 34, Acc: 0.8288, F1: 0.8214, Precision: 0.8174, Recall: 0.8285
Epoch 35, Acc: 0.8327, F1: 0.8234, Precision: 0.8213, Recall: 0.8260
Epoch 36, Acc: 0.8444, F1: 0.8356, Precision: 0.8337, Recall: 0.8378
Epoch 37, Acc: 0.8350, F1: 0.8262, Precision: 0.8237, Recall: 0.8294
Epoch 38, Acc: 0.8335, F1: 0.8272, Precision: 0.8228, Recall: 0.8367
Epoch 39, Acc: 0.8436, F1: 0.8353, Precision: 0.8326, Recall: 0.8388
Epoch 40, Acc: 0.8451, F1: 0.8374, Precision: 0.8341, Recall: 0.8420
Epoch 41, Acc: 0.8444, F1: 0.8334, Precision: 0.8359, Recall: 0.8313
Epoch 42, Acc: 0.8397, F1: 0.8315, Precision: 0.8284, Recall: 0.8356
Epoch 43, Acc: 0.8389, F1: 0.8280, Precision: 0.8296, Recall: 0.8265
Epoch 44, Acc: 0.8412, F1: 0.8311, Precision: 0.8314, Recall: 0.8308
Epoch 45, Acc: 0.8389, F1: 0.8285, Precision: 0.8289, Recall: 0.8281
Epoch 46, Acc: 0.8397, F1: 0.8293, Precision: 0.8298, Recall: 0.8288
Epoch 47, Acc: 0.8412, F1: 0.8295, Precision: 0.8333, Recall: 0.8264
Epoch 48, Acc: 0.8428, F1: 0.8328, Precision: 0.8330, Recall: 0.8325
Epoch 49, Acc: 0.8428, F1: 0.8321, Precision: 0.8338, Recall: 0.8305
Epoch 50, Acc: 0.8467, F1: 0.8361, Precision: 0.8381, Recall: 0.8344
