Epoch 1, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 2, Acc: 0.7634, F1: 0.4508, Precision: 0.8812, Recall: 0.5093
Epoch 3, Acc: 0.8571, F1: 0.7565, Precision: 0.8858, Recall: 0.7163
Epoch 4, Acc: 0.9040, F1: 0.8511, Precision: 0.9206, Recall: 0.8136
Epoch 5, Acc: 0.9196, F1: 0.8816, Precision: 0.9192, Recall: 0.8554
Epoch 6, Acc: 0.9308, F1: 0.8999, Precision: 0.9279, Recall: 0.8786
Epoch 7, Acc: 0.9308, F1: 0.8999, Precision: 0.9279, Recall: 0.8786
Epoch 8, Acc: 0.9330, F1: 0.9034, Precision: 0.9297, Recall: 0.8832
Epoch 9, Acc: 0.9308, F1: 0.9006, Precision: 0.9246, Recall: 0.8818
Epoch 10, Acc: 0.9308, F1: 0.9006, Precision: 0.9246, Recall: 0.8818
Epoch 11, Acc: 0.9308, F1: 0.9006, Precision: 0.9246, Recall: 0.8818
Epoch 12, Acc: 0.9330, F1: 0.9041, Precision: 0.9264, Recall: 0.8864
Epoch 13, Acc: 0.9308, F1: 0.9006, Precision: 0.9246, Recall: 0.8818
Epoch 14, Acc: 0.9353, F1: 0.9076, Precision: 0.9281, Recall: 0.8910
Epoch 15, Acc: 0.9353, F1: 0.9076, Precision: 0.9281, Recall: 0.8910
Epoch 16, Acc: 0.9397, F1: 0.9146, Precision: 0.9317, Recall: 0.9003
Epoch 17, Acc: 0.9420, F1: 0.9181, Precision: 0.9335, Recall: 0.9049
Epoch 18, Acc: 0.9375, F1: 0.9111, Precision: 0.9299, Recall: 0.8956
Epoch 19, Acc: 0.9487, F1: 0.9282, Precision: 0.9388, Recall: 0.9188
Epoch 20, Acc: 0.9464, F1: 0.9249, Precision: 0.9370, Recall: 0.9142
Epoch 21, Acc: 0.9531, F1: 0.9349, Precision: 0.9423, Recall: 0.9281
Epoch 22, Acc: 0.9531, F1: 0.9349, Precision: 0.9423, Recall: 0.9281
Epoch 23, Acc: 0.9509, F1: 0.9316, Precision: 0.9406, Recall: 0.9234
Epoch 24, Acc: 0.9554, F1: 0.9382, Precision: 0.9441, Recall: 0.9327
Epoch 25, Acc: 0.9531, F1: 0.9349, Precision: 0.9423, Recall: 0.9281
Epoch 26, Acc: 0.9531, F1: 0.9349, Precision: 0.9423, Recall: 0.9281
Epoch 27, Acc: 0.9554, F1: 0.9382, Precision: 0.9441, Recall: 0.9327
Epoch 28, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 29, Acc: 0.9554, F1: 0.9382, Precision: 0.9441, Recall: 0.9327
Epoch 30, Acc: 0.9554, F1: 0.9378, Precision: 0.9469, Recall: 0.9295
Epoch 31, Acc: 0.9576, F1: 0.9411, Precision: 0.9486, Recall: 0.9342
Epoch 32, Acc: 0.9576, F1: 0.9411, Precision: 0.9486, Recall: 0.9342
Epoch 33, Acc: 0.9554, F1: 0.9378, Precision: 0.9469, Recall: 0.9295
Epoch 34, Acc: 0.9576, F1: 0.9411, Precision: 0.9486, Recall: 0.9342
Epoch 35, Acc: 0.9554, F1: 0.9378, Precision: 0.9469, Recall: 0.9295
Epoch 36, Acc: 0.9576, F1: 0.9411, Precision: 0.9486, Recall: 0.9342
Epoch 37, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 38, Acc: 0.9554, F1: 0.9378, Precision: 0.9469, Recall: 0.9295
Epoch 39, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 40, Acc: 0.9576, F1: 0.9411, Precision: 0.9486, Recall: 0.9342
Epoch 41, Acc: 0.9621, F1: 0.9480, Precision: 0.9494, Recall: 0.9466
Epoch 42, Acc: 0.9643, F1: 0.9512, Precision: 0.9512, Recall: 0.9512
Epoch 43, Acc: 0.9621, F1: 0.9480, Precision: 0.9494, Recall: 0.9466
Epoch 44, Acc: 0.9531, F1: 0.9345, Precision: 0.9452, Recall: 0.9249
Epoch 45, Acc: 0.9598, F1: 0.9444, Precision: 0.9504, Recall: 0.9388
Epoch 46, Acc: 0.9554, F1: 0.9374, Precision: 0.9499, Recall: 0.9264
Epoch 47, Acc: 0.9665, F1: 0.9541, Precision: 0.9556, Recall: 0.9527
Epoch 48, Acc: 0.9688, F1: 0.9573, Precision: 0.9573, Recall: 0.9573
Epoch 49, Acc: 0.9643, F1: 0.9509, Precision: 0.9538, Recall: 0.9480
Epoch 50, Acc: 0.9688, F1: 0.9573, Precision: 0.9573, Recall: 0.9573
