Epoch 1, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 2, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 3, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 4, Acc: 0.6763, F1: 0.5391, Precision: 0.7592, Recall: 0.5777
Epoch 5, Acc: 0.7479, F1: 0.7106, Precision: 0.7452, Recall: 0.7021
Epoch 6, Acc: 0.7673, F1: 0.7421, Precision: 0.7585, Recall: 0.7347
Epoch 7, Acc: 0.7875, F1: 0.7729, Precision: 0.7745, Recall: 0.7715
Epoch 8, Acc: 0.8047, F1: 0.7909, Precision: 0.7932, Recall: 0.7889
Epoch 9, Acc: 0.8163, F1: 0.8008, Precision: 0.8086, Recall: 0.7955
Epoch 10, Acc: 0.8280, F1: 0.8130, Precision: 0.8223, Recall: 0.8069
Epoch 11, Acc: 0.8350, F1: 0.8266, Precision: 0.8236, Recall: 0.8307
Epoch 12, Acc: 0.8420, F1: 0.8328, Precision: 0.8314, Recall: 0.8343
Epoch 13, Acc: 0.8342, F1: 0.8257, Precision: 0.8228, Recall: 0.8296
Epoch 14, Acc: 0.8389, F1: 0.8308, Precision: 0.8276, Recall: 0.8350
Epoch 15, Acc: 0.8389, F1: 0.8315, Precision: 0.8276, Recall: 0.8374
Epoch 16, Acc: 0.8451, F1: 0.8343, Precision: 0.8366, Recall: 0.8323
Epoch 17, Acc: 0.8405, F1: 0.8323, Precision: 0.8293, Recall: 0.8362
Epoch 18, Acc: 0.8467, F1: 0.8376, Precision: 0.8365, Recall: 0.8388
Epoch 19, Acc: 0.8358, F1: 0.8283, Precision: 0.8244, Recall: 0.8345
Epoch 20, Acc: 0.8420, F1: 0.8319, Precision: 0.8323, Recall: 0.8315
Epoch 21, Acc: 0.8381, F1: 0.8275, Precision: 0.8283, Recall: 0.8267
Epoch 22, Acc: 0.8397, F1: 0.8308, Precision: 0.8287, Recall: 0.8332
Epoch 23, Acc: 0.8381, F1: 0.8291, Precision: 0.8271, Recall: 0.8315
Epoch 24, Acc: 0.8335, F1: 0.8248, Precision: 0.8220, Recall: 0.8286
Epoch 25, Acc: 0.8381, F1: 0.8293, Precision: 0.8270, Recall: 0.8320
Epoch 26, Acc: 0.8420, F1: 0.8328, Precision: 0.8314, Recall: 0.8343
Epoch 27, Acc: 0.8405, F1: 0.8314, Precision: 0.8296, Recall: 0.8334
Epoch 28, Acc: 0.8389, F1: 0.8294, Precision: 0.8283, Recall: 0.8306
Epoch 29, Acc: 0.8397, F1: 0.8304, Precision: 0.8289, Recall: 0.8320
Epoch 30, Acc: 0.8327, F1: 0.8237, Precision: 0.8212, Recall: 0.8268
Epoch 31, Acc: 0.8350, F1: 0.8262, Precision: 0.8237, Recall: 0.8294
Epoch 32, Acc: 0.8366, F1: 0.8275, Precision: 0.8254, Recall: 0.8299
Epoch 33, Acc: 0.8389, F1: 0.8283, Precision: 0.8292, Recall: 0.8273
Epoch 34, Acc: 0.8327, F1: 0.8236, Precision: 0.8213, Recall: 0.8264
Epoch 35, Acc: 0.8381, F1: 0.8283, Precision: 0.8276, Recall: 0.8291
Epoch 36, Acc: 0.8358, F1: 0.8270, Precision: 0.8245, Recall: 0.8301
Epoch 37, Acc: 0.8319, F1: 0.8221, Precision: 0.8207, Recall: 0.8237
Epoch 38, Acc: 0.8389, F1: 0.8312, Precision: 0.8276, Recall: 0.8366
Epoch 39, Acc: 0.8366, F1: 0.8281, Precision: 0.8252, Recall: 0.8319
Epoch 40, Acc: 0.8381, F1: 0.8289, Precision: 0.8272, Recall: 0.8307
Epoch 41, Acc: 0.8335, F1: 0.8252, Precision: 0.8219, Recall: 0.8298
Epoch 42, Acc: 0.8319, F1: 0.8247, Precision: 0.8206, Recall: 0.8318
Epoch 43, Acc: 0.8358, F1: 0.8261, Precision: 0.8250, Recall: 0.8273
Epoch 44, Acc: 0.8366, F1: 0.8263, Precision: 0.8263, Recall: 0.8263
Epoch 45, Acc: 0.8335, F1: 0.8250, Precision: 0.8220, Recall: 0.8290
Epoch 46, Acc: 0.8288, F1: 0.8206, Precision: 0.8171, Recall: 0.8257
Epoch 47, Acc: 0.8319, F1: 0.8237, Precision: 0.8203, Recall: 0.8286
Epoch 48, Acc: 0.8311, F1: 0.8248, Precision: 0.8205, Recall: 0.8344
Epoch 49, Acc: 0.8389, F1: 0.8296, Precision: 0.8281, Recall: 0.8314
Epoch 50, Acc: 0.8358, F1: 0.8279, Precision: 0.8244, Recall: 0.8329
