Epoch 1, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 2, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 3, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 4, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 5, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 6, Acc: 0.7656, F1: 0.4601, Precision: 0.8820, Recall: 0.5139
Epoch 7, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 8, Acc: 0.7969, F1: 0.5770, Precision: 0.8944, Recall: 0.5787
Epoch 9, Acc: 0.8103, F1: 0.6200, Precision: 0.9000, Recall: 0.6065
Epoch 10, Acc: 0.8125, F1: 0.6314, Precision: 0.8824, Recall: 0.6143
Epoch 11, Acc: 0.8728, F1: 0.7940, Precision: 0.8861, Recall: 0.7551
Epoch 12, Acc: 0.8906, F1: 0.8406, Precision: 0.8684, Recall: 0.8205
Epoch 13, Acc: 0.9062, F1: 0.8608, Precision: 0.9011, Recall: 0.8340
Epoch 14, Acc: 0.9085, F1: 0.8636, Precision: 0.9066, Recall: 0.8355
Epoch 15, Acc: 0.9107, F1: 0.8684, Precision: 0.9049, Recall: 0.8432
Epoch 16, Acc: 0.9129, F1: 0.8749, Precision: 0.8975, Recall: 0.8574
Epoch 17, Acc: 0.9152, F1: 0.8768, Precision: 0.9053, Recall: 0.8557
Epoch 18, Acc: 0.9241, F1: 0.8936, Precision: 0.9048, Recall: 0.8837
Epoch 19, Acc: 0.9330, F1: 0.9085, Precision: 0.9085, Recall: 0.9085
Epoch 20, Acc: 0.9308, F1: 0.9033, Precision: 0.9132, Recall: 0.8944
Epoch 21, Acc: 0.9397, F1: 0.9163, Precision: 0.9234, Recall: 0.9097
Epoch 22, Acc: 0.9420, F1: 0.9226, Precision: 0.9132, Recall: 0.9333
Epoch 23, Acc: 0.9509, F1: 0.9341, Precision: 0.9266, Recall: 0.9424
Epoch 24, Acc: 0.9442, F1: 0.9230, Precision: 0.9272, Recall: 0.9190
Epoch 25, Acc: 0.9531, F1: 0.9365, Precision: 0.9326, Recall: 0.9407
Epoch 26, Acc: 0.9487, F1: 0.9301, Precision: 0.9287, Recall: 0.9314
Epoch 27, Acc: 0.9554, F1: 0.9401, Precision: 0.9325, Recall: 0.9485
Epoch 28, Acc: 0.9531, F1: 0.9369, Precision: 0.9305, Recall: 0.9438
Epoch 29, Acc: 0.9554, F1: 0.9398, Precision: 0.9345, Recall: 0.9453
Epoch 30, Acc: 0.9464, F1: 0.9259, Precision: 0.9316, Recall: 0.9205
Epoch 31, Acc: 0.9531, F1: 0.9361, Precision: 0.9348, Recall: 0.9375
Epoch 32, Acc: 0.9554, F1: 0.9390, Precision: 0.9390, Recall: 0.9390
Epoch 33, Acc: 0.9554, F1: 0.9390, Precision: 0.9390, Recall: 0.9390
Epoch 34, Acc: 0.9487, F1: 0.9292, Precision: 0.9334, Recall: 0.9251
Epoch 35, Acc: 0.9464, F1: 0.9259, Precision: 0.9316, Recall: 0.9205
Epoch 36, Acc: 0.9487, F1: 0.9301, Precision: 0.9287, Recall: 0.9314
Epoch 37, Acc: 0.9509, F1: 0.9325, Precision: 0.9353, Recall: 0.9297
Epoch 38, Acc: 0.9554, F1: 0.9390, Precision: 0.9390, Recall: 0.9390
Epoch 39, Acc: 0.9487, F1: 0.9292, Precision: 0.9334, Recall: 0.9251
Epoch 40, Acc: 0.9509, F1: 0.9329, Precision: 0.9329, Recall: 0.9329
Epoch 41, Acc: 0.9531, F1: 0.9357, Precision: 0.9371, Recall: 0.9344
Epoch 42, Acc: 0.9509, F1: 0.9329, Precision: 0.9329, Recall: 0.9329
Epoch 43, Acc: 0.9442, F1: 0.9225, Precision: 0.9297, Recall: 0.9158
Epoch 44, Acc: 0.9576, F1: 0.9429, Precision: 0.9365, Recall: 0.9499
Epoch 45, Acc: 0.9531, F1: 0.9361, Precision: 0.9348, Recall: 0.9375
Epoch 46, Acc: 0.9554, F1: 0.9398, Precision: 0.9345, Recall: 0.9453
Epoch 47, Acc: 0.9554, F1: 0.9408, Precision: 0.9289, Recall: 0.9548
Epoch 48, Acc: 0.9554, F1: 0.9405, Precision: 0.9306, Recall: 0.9516
Epoch 49, Acc: 0.9531, F1: 0.9365, Precision: 0.9326, Recall: 0.9407
Epoch 50, Acc: 0.9531, F1: 0.9361, Precision: 0.9348, Recall: 0.9375
