Epoch 1, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 2, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 3, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 4, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 5, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 6, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 7, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 8, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 9, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 10, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 11, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 12, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 13, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 14, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 15, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 16, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 17, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 18, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 19, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 20, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 21, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 22, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 23, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 24, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 25, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 26, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 27, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 28, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 29, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 30, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 31, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 32, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 33, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 34, Acc: 0.7634, F1: 0.4508, Precision: 0.8812, Recall: 0.5093
Epoch 35, Acc: 0.7589, F1: 0.4490, Precision: 0.6306, Recall: 0.5063
Epoch 36, Acc: 0.7634, F1: 0.4508, Precision: 0.8812, Recall: 0.5093
Epoch 37, Acc: 0.7634, F1: 0.4508, Precision: 0.8812, Recall: 0.5093
Epoch 38, Acc: 0.7634, F1: 0.4508, Precision: 0.8812, Recall: 0.5093
Epoch 39, Acc: 0.7589, F1: 0.4653, Precision: 0.6318, Recall: 0.5126
Epoch 40, Acc: 0.7612, F1: 0.4582, Precision: 0.6815, Recall: 0.5109
Epoch 41, Acc: 0.7656, F1: 0.4683, Precision: 0.7826, Recall: 0.5170
Epoch 42, Acc: 0.7545, F1: 0.4708, Precision: 0.5902, Recall: 0.5129
Epoch 43, Acc: 0.7634, F1: 0.4592, Precision: 0.7568, Recall: 0.5124
Epoch 44, Acc: 0.7612, F1: 0.4663, Precision: 0.6678, Recall: 0.5141
Epoch 45, Acc: 0.7612, F1: 0.4663, Precision: 0.6678, Recall: 0.5141
Epoch 46, Acc: 0.7567, F1: 0.4719, Precision: 0.6094, Recall: 0.5143
Epoch 47, Acc: 0.7634, F1: 0.4508, Precision: 0.8812, Recall: 0.5093
Epoch 48, Acc: 0.7634, F1: 0.4752, Precision: 0.6955, Recall: 0.5187
Epoch 49, Acc: 0.7612, F1: 0.4663, Precision: 0.6678, Recall: 0.5141
Epoch 50, Acc: 0.7455, F1: 0.4665, Precision: 0.5370, Recall: 0.5070
