Epoch 1, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 2, Acc: 0.6218, F1: 0.3834, Precision: 0.3109, Recall: 0.5000
Epoch 3, Acc: 0.6965, F1: 0.5943, Precision: 0.7463, Recall: 0.6105
Epoch 4, Acc: 0.7393, F1: 0.6896, Precision: 0.7485, Recall: 0.6824
Epoch 5, Acc: 0.7619, F1: 0.7242, Precision: 0.7671, Recall: 0.7142
Epoch 6, Acc: 0.7953, F1: 0.7746, Precision: 0.7893, Recall: 0.7669
Epoch 7, Acc: 0.8101, F1: 0.7980, Precision: 0.7982, Recall: 0.7977
Epoch 8, Acc: 0.8070, F1: 0.7807, Precision: 0.8160, Recall: 0.7682
Epoch 9, Acc: 0.8195, F1: 0.8059, Precision: 0.8099, Recall: 0.8028
Epoch 10, Acc: 0.8218, F1: 0.8092, Precision: 0.8116, Recall: 0.8071
Epoch 11, Acc: 0.8311, F1: 0.8166, Precision: 0.8255, Recall: 0.8106
Epoch 12, Acc: 0.8265, F1: 0.8179, Precision: 0.8147, Recall: 0.8226
Epoch 13, Acc: 0.8272, F1: 0.8183, Precision: 0.8155, Recall: 0.8220
Epoch 14, Acc: 0.8171, F1: 0.8118, Precision: 0.8085, Recall: 0.8251
Epoch 15, Acc: 0.8195, F1: 0.8130, Precision: 0.8089, Recall: 0.8230
Epoch 16, Acc: 0.8436, F1: 0.8281, Precision: 0.8440, Recall: 0.8190
Epoch 17, Acc: 0.8374, F1: 0.8235, Precision: 0.8321, Recall: 0.8176
Epoch 18, Acc: 0.8459, F1: 0.8304, Precision: 0.8473, Recall: 0.8209
Epoch 19, Acc: 0.8420, F1: 0.8277, Precision: 0.8390, Recall: 0.8206
Epoch 20, Acc: 0.8171, F1: 0.8103, Precision: 0.8062, Recall: 0.8195
Epoch 21, Acc: 0.8241, F1: 0.8183, Precision: 0.8142, Recall: 0.8296
Epoch 22, Acc: 0.8304, F1: 0.8226, Precision: 0.8188, Recall: 0.8285
Epoch 23, Acc: 0.8335, F1: 0.8253, Precision: 0.8219, Recall: 0.8302
Epoch 24, Acc: 0.8366, F1: 0.8271, Precision: 0.8257, Recall: 0.8287
Epoch 25, Acc: 0.8265, F1: 0.8196, Precision: 0.8154, Recall: 0.8282
Epoch 26, Acc: 0.8288, F1: 0.8219, Precision: 0.8177, Recall: 0.8301
Epoch 27, Acc: 0.7712, F1: 0.7701, Precision: 0.7866, Recall: 0.8015
Epoch 28, Acc: 0.8389, F1: 0.8300, Precision: 0.8279, Recall: 0.8326
Epoch 29, Acc: 0.7852, F1: 0.7828, Precision: 0.7896, Recall: 0.8075
Epoch 30, Acc: 0.8366, F1: 0.8285, Precision: 0.8252, Recall: 0.8331
Epoch 31, Acc: 0.8319, F1: 0.8255, Precision: 0.8211, Recall: 0.8346
Epoch 32, Acc: 0.8335, F1: 0.8267, Precision: 0.8224, Recall: 0.8350
Epoch 33, Acc: 0.8288, F1: 0.8197, Precision: 0.8172, Recall: 0.8228
Epoch 34, Acc: 0.8405, F1: 0.8286, Precision: 0.8326, Recall: 0.8254
Epoch 35, Acc: 0.8350, F1: 0.8273, Precision: 0.8236, Recall: 0.8331
Epoch 36, Acc: 0.8265, F1: 0.8194, Precision: 0.8152, Recall: 0.8274
Epoch 37, Acc: 0.8156, F1: 0.8099, Precision: 0.8063, Recall: 0.8223
Epoch 38, Acc: 0.8319, F1: 0.8248, Precision: 0.8206, Recall: 0.8322
Epoch 39, Acc: 0.8171, F1: 0.8103, Precision: 0.8062, Recall: 0.8195
Epoch 40, Acc: 0.8436, F1: 0.8328, Precision: 0.8347, Recall: 0.8311
Epoch 41, Acc: 0.8335, F1: 0.8248, Precision: 0.8220, Recall: 0.8286
Epoch 42, Acc: 0.8171, F1: 0.8113, Precision: 0.8075, Recall: 0.8231
Epoch 43, Acc: 0.8171, F1: 0.8099, Precision: 0.8059, Recall: 0.8183
Epoch 44, Acc: 0.8288, F1: 0.8191, Precision: 0.8173, Recall: 0.8212
Epoch 45, Acc: 0.8226, F1: 0.8147, Precision: 0.8109, Recall: 0.8210
Epoch 46, Acc: 0.8257, F1: 0.8192, Precision: 0.8150, Recall: 0.8288
Epoch 47, Acc: 0.8101, F1: 0.8030, Precision: 0.7990, Recall: 0.8118
Epoch 48, Acc: 0.8249, F1: 0.8166, Precision: 0.8131, Recall: 0.8217
Epoch 49, Acc: 0.8350, F1: 0.8260, Precision: 0.8238, Recall: 0.8286
Epoch 50, Acc: 0.8311, F1: 0.8223, Precision: 0.8196, Recall: 0.8259
