Epoch 1, Acc: 0.7589, F1: 0.4315, Precision: 0.3795, Recall: 0.5000
Epoch 2, Acc: 0.8036, F1: 0.6318, Precision: 0.7992, Recall: 0.6147
Epoch 3, Acc: 0.7768, F1: 0.5049, Precision: 0.8864, Recall: 0.5370
Epoch 4, Acc: 0.8549, F1: 0.7563, Precision: 0.8704, Recall: 0.7180
Epoch 5, Acc: 0.9263, F1: 0.8942, Precision: 0.9178, Recall: 0.8757
Epoch 6, Acc: 0.9263, F1: 0.8942, Precision: 0.9178, Recall: 0.8757
Epoch 7, Acc: 0.9263, F1: 0.8926, Precision: 0.9245, Recall: 0.8693
Epoch 8, Acc: 0.9263, F1: 0.8942, Precision: 0.9178, Recall: 0.8757
Epoch 9, Acc: 0.9286, F1: 0.8970, Precision: 0.9228, Recall: 0.8771
Epoch 10, Acc: 0.9286, F1: 0.8970, Precision: 0.9228, Recall: 0.8771
Epoch 11, Acc: 0.9286, F1: 0.8970, Precision: 0.9228, Recall: 0.8771
Epoch 12, Acc: 0.9286, F1: 0.8970, Precision: 0.9228, Recall: 0.8771
Epoch 13, Acc: 0.9286, F1: 0.8970, Precision: 0.9228, Recall: 0.8771
Epoch 14, Acc: 0.9263, F1: 0.8934, Precision: 0.9210, Recall: 0.8725
Epoch 15, Acc: 0.9263, F1: 0.8934, Precision: 0.9210, Recall: 0.8725
Epoch 16, Acc: 0.9286, F1: 0.8970, Precision: 0.9228, Recall: 0.8771
Epoch 17, Acc: 0.9286, F1: 0.8970, Precision: 0.9228, Recall: 0.8771
Epoch 18, Acc: 0.9286, F1: 0.8970, Precision: 0.9228, Recall: 0.8771
Epoch 19, Acc: 0.9286, F1: 0.8970, Precision: 0.9228, Recall: 0.8771
Epoch 20, Acc: 0.9286, F1: 0.8970, Precision: 0.9228, Recall: 0.8771
Epoch 21, Acc: 0.9263, F1: 0.8934, Precision: 0.9210, Recall: 0.8725
Epoch 22, Acc: 0.9263, F1: 0.8934, Precision: 0.9210, Recall: 0.8725
Epoch 23, Acc: 0.9353, F1: 0.9076, Precision: 0.9281, Recall: 0.8910
Epoch 24, Acc: 0.9286, F1: 0.8970, Precision: 0.9228, Recall: 0.8771
Epoch 25, Acc: 0.9442, F1: 0.9215, Precision: 0.9352, Recall: 0.9095
Epoch 26, Acc: 0.9353, F1: 0.9076, Precision: 0.9281, Recall: 0.8910
Epoch 27, Acc: 0.9442, F1: 0.9215, Precision: 0.9352, Recall: 0.9095
Epoch 28, Acc: 0.9464, F1: 0.9249, Precision: 0.9370, Recall: 0.9142
Epoch 29, Acc: 0.9397, F1: 0.9174, Precision: 0.9187, Recall: 0.9161
Epoch 30, Acc: 0.9487, F1: 0.9287, Precision: 0.9360, Recall: 0.9219
Epoch 31, Acc: 0.9442, F1: 0.9215, Precision: 0.9352, Recall: 0.9095
Epoch 32, Acc: 0.9442, F1: 0.9215, Precision: 0.9352, Recall: 0.9095
Epoch 33, Acc: 0.9397, F1: 0.9146, Precision: 0.9317, Recall: 0.9003
Epoch 34, Acc: 0.9397, F1: 0.9146, Precision: 0.9317, Recall: 0.9003
Epoch 35, Acc: 0.9397, F1: 0.9146, Precision: 0.9317, Recall: 0.9003
Epoch 36, Acc: 0.9420, F1: 0.9181, Precision: 0.9335, Recall: 0.9049
Epoch 37, Acc: 0.9263, F1: 0.8934, Precision: 0.9210, Recall: 0.8725
Epoch 38, Acc: 0.9442, F1: 0.9215, Precision: 0.9352, Recall: 0.9095
Epoch 39, Acc: 0.9263, F1: 0.8934, Precision: 0.9210, Recall: 0.8725
Epoch 40, Acc: 0.9397, F1: 0.9146, Precision: 0.9317, Recall: 0.9003
Epoch 41, Acc: 0.9464, F1: 0.9249, Precision: 0.9370, Recall: 0.9142
Epoch 42, Acc: 0.9464, F1: 0.9249, Precision: 0.9370, Recall: 0.9142
Epoch 43, Acc: 0.9487, F1: 0.9282, Precision: 0.9388, Recall: 0.9188
Epoch 44, Acc: 0.9487, F1: 0.9282, Precision: 0.9388, Recall: 0.9188
Epoch 45, Acc: 0.9397, F1: 0.9146, Precision: 0.9317, Recall: 0.9003
Epoch 46, Acc: 0.9375, F1: 0.9111, Precision: 0.9299, Recall: 0.8956
Epoch 47, Acc: 0.9442, F1: 0.9215, Precision: 0.9352, Recall: 0.9095
Epoch 48, Acc: 0.9375, F1: 0.9111, Precision: 0.9299, Recall: 0.8956
Epoch 49, Acc: 0.9375, F1: 0.9111, Precision: 0.9299, Recall: 0.8956
Epoch 50, Acc: 0.9353, F1: 0.9076, Precision: 0.9281, Recall: 0.8910
